,title,price,description,feature,brand,price_sgd,screen_size_inches,resolution,smart_tv,weight_kg,height_cm,width_cm,depth_cm,refresh_rate_hz,hdmi_ports,usb_ports,operating_system,energy_efficiency_class,sound_output_w
105,Sony XBR85X950G X950G 85 Inch,"S$3,199.00","Screen size; 85 Inches; Brand; Sony; Supported Internet services; Alexa; Display technology; LED; Resolution; 4K; Refresh rate; 120 Hz; Special features; Flat; Model name; XBR-85X950G; Included components; Television, Remote; Connectivity technology; Bluetooth","About this item; HIGH DYNAMIC RANGE: Experience incredible detail, brightness and clarity with 4K UHD resolution; X-WIDE ANGLE: Sit anywhere in the room to enjoy incredible real-world color with the 85inch X950G; IMMERSIVE AUDIO: Acoustic Multi-Audio syncs sound with action to create Sound-from Picture Reality; ULTIMATE REALISM: Enjoy clear, vibrant colors with TRILUMINOS Display and 4K HDR Super Bit Mapping; NO MOTION BLUR: Watch lifelike on-screen action with virtually no blur with Motion flow XR technology; APPLE AIRPLAY 2 and HOMEKIT SUPPOR: Seamlessly integrate your iPhone and Siri devices with your Sony TV for effortless smart home management and content streaming.; WORKS WITH ALEXA: Stream smart camera feeds with your voice. Through an Alexa enabled device, just ask Alexa to play music, launch video apps, turn up the volume, and more; ANDROID TV: 85in flat screen TV with Google Assistant built-in and Alexa and Google Home compatible; DIMENSIONS: With stand - 75 1/4 x 46 1/2 x 16 1/4 inch; without stand - 75 1/4 x 43 3/8 x 2 7/8 inch; IN THE BOX: 85 in TV with stand, remote, batteries, power cord, IR blaster, start guide, and manual; Show More",Sony,3199.0,85.0,4K,Yes,,117.79,190.89,6.6,120.0,,,Android TV,Not specified,
106,Sony 4K Ultra HD,"S$2,099.00","Screen size; 75 Inches; Brand; Sony; Supported Internet services; Google TV; Display technology; LED; Product dimensions; 32D x 170W x 100H centimetres; Resolution; 4K; Refresh rate; 120; Special features; Flat; Model name; X85K Series; Included components; Stand, TV",About this item; Sony 4K Ultra HD TV X85K Series: LED Smart Google TV with Dolby Vision HDR and Native 120HZ Refresh Rate 85X85K 75X85K 65X85K 55X85K 50X85K (75inch); Sony,Sony,2099.0,75.0,4K,Google TV,,100.0,170.0,32.0,120.0,,,Android TV,Not specified,
107,SAMSUNG QA50QN90AAKXXS Neo QLED 4K Smart,"S$2,089.00","Screen size; 50 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; QLED; Product dimensions; 22.3D x 111.4W x 70.9H centimetres; Resolution; 4K; Refresh rate; 120 Hz; Special features; QLED TV; Model name; Samsung; Included components; 1 x Television","About this item; See every detail with quantum matrix technology; Upscale all your content to optimal 4K resolution with Neo quantum processor 4K; Experience vividly realistic 3D sound with OTS+; A billion shades of colour with quantum dot; Dynamic, realistic sound that tracks the action",Samsung,2089.0,50.0,4K,Yes,,70.9,111.4,22.3,120.0,,,Not specified,Not specified,
108,"ULTi Desk Converter Riser, Standing Desk, Height Adjustable, Sit-Stand w Monitor & Laptop, Keyboard Tray & Tablet Holder",S$129.99,Material; Engineered Wood; Brand; ULTi; Base type; Leg; Number of levels; 1,"About this item; Crafted from MDF wood as opposed to particle board wood; Made to be more durable; MDF gives the desk a more solid, smooth and premium feel; Place on your existing desk, attach the keyboard tray, and start organising your workstation; Lift design elevates straight upwards; 58201458935",Others,129.99,,Not specified,Not specified,,,,,,,,Not specified,Not specified,
109,Haocrown 19-inch TouchScreen Waterproof,S$780.00,"Screen size; 19 Inches; Brand; Haocrown; Supported Internet services; Netflix, YouTube; Display technology; LED; Resolution; 1080p; Special features; Flat; Model name; HG019TOUCH; Included components; Stand, TV, Remote Control, Batteries; Connectivity technology; Ethernet; Colour; Mirror-Touch","About this item; 👍【FULL TOUCHSCREEN CONTROL WITH EASY】Haocrown Bathroom TVs are in Combination with The Full-Screen 10 Point Touch Technology. With This Hassle-Free Smart Touch Feature, You Can Easily Browse Through All The Available Options Like a tablet, Enjoy All Your Favorite Shows With Exquisite Bath Time. We Also Come With Great High-Quality IP68 Waterproof Remote Control For You, Even If It is immersed in Water, There is No Problem.; 🛁【TRUELY IP66 PROFESSIONAL WATERPROOF】: Haocrown Waterproof TV is Passed the IP66-Certified Waterproof Standards, This Waterproof Technology can Effectively Prevent the Damage of the TV from Water Flushing. Make it Excellent Suitable for Humid Areas, You Can Install it Everywhere You Want, Near the Bathtub, or Even Under the Shower. Powered with safe low voltage DC 12V adapter, Let You Relax in the Bath and Tune in to Your Favourite TV Shows.; 😍【LUXURY MAGIC MIRROR DESIGN】: The Haocrown bathroom mirror TV uses non-conductive diamond-grade nano-coated glass, the highest in the industry. You get a real glass mirror with all the functions of modern TV. When turn off it, there is a luxury mirror to decorate your bathroom, helping to create a comfortable and relaxing environment. Suitable for use in bathrooms, shower rooms, swimming pools, spas, and luxury hotels.The mirror frame dimensions: 488 x 368 x 11 mm, the TV size: 19 inch.; ✨【BUILT-IN SMART ANDROID TV SYSTEM AND DIGITAL TV】Comes with the world’s most popular Android 11.0 operating system in HDMI2 channel, Haocrown Bathroom TV provides abundant content. Simply Connect to Wi-fi, Apps that can access include Netflix, YouTube, Prime TV, and BBC iPlayer, making it easy to stream a wide variety of shows. Plus download more via Google Play Store. Built-in DVB tuner, support digital HD programs.; 💯【INSTALLATION AND WARRANTY】The Haocrown Waterproof TVs Come with a Wall-mount and Recess mounting Bracket included in the Package. Recess Dimensions for In-wall: 451 x 340 x 32mm/17.8""W x 13.4""H x 1.25""D. 【Supported Reception:】Supported Reception DVB-T/T2 (Terrestrial), DVB-C (Cable), DVB-S / S2 (Satellite), allows you to Watch HD Programmes Without any Additional Decoders.【1 YEAR WARRANTY 】Please Contact Us if You Have any Concerns.",Others,780.0,19.0,1080p,Yes,,36.8,48.8,1.1,,,,Android TV,Not specified,
110,LG 50UQ8050PSB Smart 4K UHD,S$699.00,"Screen size; 50 Inches; Brand; LG; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; 4K UHD; Product dimensions; 23.1D x 112.1W x 71.3H centimetres; Resolution; 4K; Special features; Flat; Included components; Stand, TV; Connectivity technology; USB, HDMI; Mounting type; Wall Mount","About this item; LG ThinQ AI; α5 Gen5 AI Processor 4K; Sound Output: 20W (10W per Channel); HDMI 2.0: 1 (Rear) / 2 (Side) , Simplink (HDMI CEC) , eARC (HDMI 2) , USB: 1 (Rear) / 1 (Side) , LAN (Rear); VESA Size: 200 x 200; Weight with Stand: 11.9 kg; Size with Stand: 1121 x 713 x 231 (WxHxDmm); Size without Stand: 1235 x 715 x 57.5 (WxHxDmm)",LG,699.0,50.0,4K,Yes,11.9,71.3,112.1,23.1,,3.0,2.0,webOS,Not specified,20.0
111,Samsung QA43LS05BAKXXS 'The Sero' 4K QLED Smart,"S$2,199.00","Screen size; 43 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; QLED; Resolution; 4K; Special features; Flat; Model name; QA43LS05BAKXXS; Included components; Stand, TV; Mounting type; Table Mount; Audio output mode; Stereo",About this item; Matte Display; Mobile Optimised Screen; Rotating Screen; 4.1Ch Powerful Sound; Tizen Operating System; SmartThings App Support; Set Weight with Stand: 32.2 kg; Stand (Basic) (WxD): 218.1 x 170 mm; Set Size without Stand (WxHxD): 564.7 x 1228.1 x 83.4 mm; Set Size with Stand (WxHxD): 564.7 x 1200 x 327 mm; Show More,Samsung,2199.0,43.0,4K,Yes,32.2,122.81,56.47,8.34,,,,Tizen,Not specified,4.1
112,LG LCD,S$473.26,"Screen size; 24 Inches; Brand; LG; Display technology; LED; Resolution; 720p; Refresh rate; 60 Hz; Special features; Triple XD Engine; Model name; LJ4540; Included components; Stand, TV, Remote Control; Connectivity technology; HDMI; Aspect ratio; 16:9, 4:3","About this item; Your purchase includes One LG 24LJ4540 24-Inch LED TV, 2017 model, one controller and User Manual; TV Dimensions: Without Stand - 21.9"" W x 2.1"" H x 13.6"" D. With Stand - 21.9"" W x 5.8"" H x 15.2"" D. Screen size: 23.6” measured diagonally; No smart functionality. Triple XD Engine processes images with even greater precision to enable more natural color expression, deeper contrast and for a more lifelike picture.; LG’s LED backlighting delivers exceptional brightness and amazing image clarity. You'll see richer colors and deeper blacks too, and LEDs offer greater energy efficiency compared to conventional LCD monitors.; Inputs: One (ATSC) RF In (Antenna/Cable). One HDMI",LG,473.26,24.0,720p,No,,13.46,55.63,38.61,60.0,1.0,,Not specified,Not specified,
113,Sony XBR75X900F 75-Inch 4K Ultra HD Smart LED Android,"S$1,749.00",Screen size; 75 Inches; Brand; Sony; Supported Internet services; YouTube; Display technology; LED; Product dimensions; 35.6D x 167.6W x 103.5H centimetres; Resolution; 4K; Refresh rate; 120; Special features; Flat; Model name; XBR75X900F; Included components; remote,"About this item; BEYOND HIGH DEFINITION: 4K HDTV picture offers stunning clarity & high dynamic range color & detail; ENHANCED QUALITY: With the X1 Extreme Processor enjoy controlled contrast & wide range of brightness; PREMIUM DISPLAY: Enjoy vibrant colors with TRILUMINOS & clear on-screen action with X-Motion Clarity; DIMENSION OF TV WITHOUT STAND (W X H X D): 66 x 37 3/4 x 2 7/8 in, 77.1 lb || DIMENSION OF TV WITH STAND (W X H X D): 66 x 40 3/4 x 14 in, 80.9 lb; Say It. See It.: Connect Alexa to your TV to stream smart camera feeds with your voice, play music, launch video apps, and more; Compatible with Amazon Alexa & Google Home; Multiple Inputs: 4 HDMI, 2 USB2.0, 1 USB3.0 & 1 Composite Port to Easily Switch Inputs; Box Includes: Voice Remote, Batteries, Power Cord, IR Blaster, Operating Manual, Setup Guide & Stand",Sony,1749.0,75.0,4K,Yes,36.7,103.5,167.6,35.6,120.0,4.0,3.0,Android TV,Not specified,
114,5 inch Portable,S$122.58,"Screen size; 5 Inches; Brand; Yoidesu; Display technology; LED; Resolution; 1080p; Special features; Flat; Model name; ATSC; Included components; Stand, TV, Remote Control, Batteries; Connectivity technology; USB; Colour; 5in; Mounting type; Table Mount","About this item; MULTIFUNCION POCKET TV: This ATSC Pocket Digital Car TV is a portable TV that complies with the ATSC standard. What's more, it can be used not only to watch analog TV, but also to watch digital TV and ATV.; ABUNDANT INTERFACES: The Mini Digital Television has a USB port, Memory Card slot, can play U disk content, supports 1080p video, MKV, MOV, AVI, WMV, MP4, FLV, MPEG1‑4, MP3 and other functions.; LONG BATTERY LIFE: The LED Mini TV is equipped with a 1500mAh rechargeable lithium battery, which has a long service life per charge and can be used outdoors, such as travel, camping, etc.; BETTER SIGNAL: The signal of a Mini Digital TV is of prior importance, so this product is equipped with high sensitivity adjuster, which makes the signal receiving ability much better than before.; WITH TV STAND: Being a portable digital TV, and in order to meet the purpose of portability, the product is equipped with a TV stand on the basis of the small screen, which is convenient for users to use.",Others,122.58,5.0,1080p,No,,,,,,,,Not specified,Not specified,
115,LG OLED65C2PSA C2 SMART 4K OLED,"S$3,199.00","Screen size; 65 Inches; Brand; LG; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; OLED; Resolution; 4K; Special features; Flat; Model name; OLED65C2PSA; Included components; Stand, TV; Mounting type; Table Mount; Operating system; WebOS","About this item; LG OLED65C2PSA C2 SMART 4K OLED TV, 65-inch, 4 Ticks; LG",LG,3199.0,65.0,4K,Yes,,,,,,,,webOS,Not specified,
116,LG OLED55A2PSA Smart 4K OLED,"S$1,958.00","Screen size; 55 Inches; Brand; LG; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; OLED; Product dimensions; 77.2D x 122.8W x 23.5H centimetres; Resolution; 4K; Refresh rate; 120 Hz; Special features; Flat; Model name; LG; Included components; 1 x Smart TV",About this item; 5th Generation AI processor with dynamic tone mapping; Comes with narrow border; Dolby Vision IQ with Dolby atmos; Creating a sharp picture with unprecedented depth; Voltage: 100.0 volts; Wireless communication technology: Wi-Fi,LG,1958.0,55.0,4K,Yes,,23.5,122.8,77.2,120.0,,,Not specified,Not specified,
117,"SAMSUNG UA85BU8000KXXS Crystal 4K UHD Smart TV, 85-inch, 3 Ticks","S$3,199.00","Screen size; 85 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Resolution; 4K; Special features; Flat; Included components; Stand, TV; Connectivity technology; Wi-Fi; Mounting type; Table Mount; Audio output mode; Optical; Audio input; USB, Optical, HDMI","About this item; Dynamic Crystal Colour; Transform everything you love into stunning 4K resolution with our powerful Crystal Processor 4K; Operating System: Tizen; Connectivity: HDMI x3, USB x2, Audio out (Optical), eARC (HDMI2); WiFi5, Bluetooth BT5.2; SmartThings; VESA Spec: 600 x 400 mm; Stand (Minimum) (WxD): 1129.8 x 396.6 mm; Set Size with Stand (WxHxD): 1900.9 x 1129.1 x 396.6 mm; Set Size without Stand (WxHxD): 1900.9 x 1086.2 x 26.9 mm; Show More",Samsung,3199.0,85.0,4K,Yes,,112.91,190.09,39.66,,3.0,2.0,Tizen,Not specified,
118,"LG 50UP7750PTB.ATC 4K Ultra HD Smart LED TV, 50"",Black",S$749.00,"Screen size; 50 Inches; Brand; LG; Supported Internet services; Netflix; Display technology; LED; Resolution; 4K; Refresh rate; 240; Special features; Google Assistant, Ultra Surround Sound, Web Browser; Model name; LG; Included components; 1 x Smart LED TV, Remote MR21, Batteries (AA x 2EA), Power Cable; Connectivity technology; Bluetooth, Wi-Fi, USB, HDMI",About this item; Quad core processor 4K; AI brightness control; ThinQ allows simple command and control of your Home IoT ecosystem with natural voice recognition; Filmmaker mode and HDR bring you a more immersive viewing experience; Ultra Surround Sound,LG,749.0,50.0,4K,Yes,,,,,240.0,1.0,1.0,webOS,Not specified,
119,Hisense A7G 55 Inch Uhd Smart Tv Dolby Vision Dolby Atmos Hdr 10+ Dts Virtual X Memc Vrr+Allm 2.4/5G Dual Wifi,S$859.00,"Screen size; 55 Inches; Brand; Hisense; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Resolution; 4K; Special features; Flat; Included components; TV, TV Stand, Remote Control, Battery AAA x 2, User Manual, Quick Setup Guide, Power Cord; Connectivity technology; Wi-Fi; Mounting type; Table Mount; Item weight; 13.1 Kilograms; Audio output mode; Surround","About this item; Dolby Vision & Atmos - Experience the most realistic holographic ""surround"" impact; Ultra Dimming - Better contrast for the enhanced viewing experience; HDR 10+ - Enjoy dynamic and bright display quality; Game Mode - Low Latency VRR+ALLM, experience no lag in FPS games; Low Bluelight - Low Blue Light to protect your eyes anytime (TÜV certificate)",Others,859.0,55.0,4K,Yes,13.1,,,,,,,Not specified,Not specified,
120,"Sharp 4T-C50BK1X 4K Ultra-HDR Android TV with Google Assistant, 50"", Black","S$1,049.00","Screen size; 50 Inches; Brand; Sharp; Supported Internet services; Google Assistant; Resolution; 4K; Special features; Clear and powerful sound quality, Energy efficiency rating 4 ticks, Comfort mode to reduce blue light; See more; Model name; Sharp; Included components; 1 x TV, 1 x Remote and User guide; Connectivity technology; Wi-Fi; Colour; Black; Mounting type; Table Mount",About this item; 50 Inch 4K UHD Android TV; 4K Ultra HD - AQUOS 4K TVs come with the latest HDR standards; X4 Master Engine Pro II processor allows SD and HD videos to be up-converted to 4K resolution with minimal noise while maintaining image quality; Android TV - enjoy a variety of apps for videos news and games from playstore with the latest all in one Smart Remote; Chromecast built-in,Others,1049.0,50.0,4K,Yes,,,,,,,,Android TV,Not specified,
121,"Samsung QA65Q80BAKXXS QLED 4K Smart TV, 65-inch, 3 Ticks","S$2,299.00","Screen size; 65 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; QLED; Resolution; 4K; Refresh rate; 120; Special features; Flat; Model name; QA65Q80BAKXXS; Included components; Stand, TV; Connectivity technology; Bluetooth, USB, Ethernet, HDMI","About this item; Quantum Processor 4K; Q-Symphony; Sound Output (RMS): 60W; Tizen Operating System; Connectivity: HDMI x4, USB x2, Ethernet (LAN), Digital Audio Out (Optical), eARC (HDMI 3), HDMI Quick Switch, HDMI (High Frame Rate) 4K 120Hz (for HDMI 1/2/3/4); WiFi5, Bluetooth BT5.2; Set Weight with Stand: 27.8 kg; VESA Spec: 400 x 300 mm; Set Size with Stand (WxHxD): 1446.5 x 905.7 x 289.1 mm; Set Size without Stand (WxHxD): 1446.5 x 829.8 x 54.7 mm; Show More",Samsung,2299.0,65.0,4K,Yes,27.8,90.57,144.65,28.91,120.0,4.0,2.0,Tizen,Not specified,60.0
122,Hisense U6H 55 Inch Qled+/Uled Smart Tv Full Array Local Dimming Dolby Vision Dolby Atmos Hdr 10+ Peak 600Nits + Brightness Hi-View Engine Memc Allm 2.4/5G,"S$1,059.00","Screen size; 55 Inches; Brand; Hisense; Supported Internet services; Netflix, YouTube, Browser; Special features; Flat; Included components; TV, TV Stand, Remote Control, Battery AAA x 2, User Manual, Quick Setup Guide, Power Cord; Connectivity technology; Wi-Fi; Mounting type; Table Mount; Item weight; 13.9 Kilograms; Audio output mode; Surround; Audio input; USB, HDMI","About this item; Full Array Local Dimming - Ultra contrast for the most enhanced viewing experience; Dolby Vision & Atmos - Experience the most realistic holographic ""surround"" impact; HDR 10+ - Highest brightness level of High Dynamic Range possible; MEMC - Fast motion smoothing refresh rates; Game Mode - Auto Low Latency Mode + VRR, experience no lag in FPS games",Others,1059.0,55.0,Others,Yes,13.9,,,,,1.0,1.0,Not specified,Not specified,
123,"SAMSUNG QA85QN900AKXXS QN900A Neo QLED 8K Smart TV, 85"", Stainless Steel","S$19,999.00","Screen size; 85 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; QLED; Resolution; 4K; Refresh rate; 120 Hz; Special features; QLED TV; Model name; Samsung; Included components; 1 x Television; Connectivity technology; Bluetooth, USB, Ethernet, HDMI",About this item; Ultra-fine contrast in 8K that reveals every hidden detail; AI-powered 8K picture completed by 16 neural networks; Minimal glare to reduce distractions; Dynamic sound that tracks the action from all corners; Auto-optimised sound to fit your space,Samsung,19999.0,85.0,4K,Yes,,,,,120.0,1.0,1.0,Tizen,Not specified,
124,"Samsung QA65QN85BAKXXS Neo Qled 4K Smart TV, 65-inch, 3 Ticks | TV","S$2,499.00","Screen size; 65 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; LED; Resolution; 4K; Refresh rate; 120 Hz; Special features; Flat; Model name; Samsung; Included components; 1 x NEO QLED 4K Smart TV, 1 x Remote Controller, 1 x Samsung Smart Control, 1 x Optional Stand Support (Y20 Studio), 1 x Vesa Wall Mount Support, 1 x Auto-Rotation Accessory Support, 1 x User Manual, 1 x E-Manual, 1 x Webcam Support, 1 x Power Cable; See more; Connectivity technology; HDMI",About this item; Pinnacle of ultra-fine light control; Intelligent processor perfected by deep-learning; Dolby atmos experience with top channel speakers; Your contents in one place for ultimate convenience; You can enjoy great detail in both the darkest and brightest scenes,Samsung,2499.0,65.0,4K,Yes,,,,,120.0,1.0,,Tizen,Not specified,
125,"Govee Envisual TV LED Backlights with Camera, RGBIC Wi-Fi LED Strip Lights for 55-65 inch TVs PC, Works with Alexa & Google Assistant, App Control, Music Sync TV Lights, Adapter, H6199 DreamView T1",S$129.99,Colour; Multicolor; Brand; Govee; Special features; Timer; Power source; Corded Electric; Theme; Movie; Style; Modern; Controller type; Voice Control; Connectivity protocol; Wi-Fi; Connectivity technology; Wi-Fi; Voltage; 12 Volts,"About this item; DreamView Experience: Our 1080p intelligent camera captures the color onscreen and automatically applies to your TV LED light strip. Higher resolution with more accurate color recognition. ( Notice: The camera is only used to capture the color onscreen, it cannot be used for projection or audio.); Smart Voice Control: Manage your TV LED backlights for TV with simple voice commands, via Alexa and Google Assistant, or with the Govee Home app. Enjoy access to more colors and features like Timer, Video, DIY and Music mode, helping you create the ambiance you need.; Dynamic Light Effects: Govee RGBIC technology allows you to customize each TV LED strip lights segment and display multiple colors simultaneously. With 99+ scene modes and 2 video modes, your gaming & viewing experience will never be the same. You can also save other people's DIY Styles from the Govee Light Studio.; Enhanced Music Mode: The control box of the LED light strip for TV is equipped with a built-in mic, helping you sync them to music. Choose from 4 modes (Energic, Rhythm, Spectrum, Rolling) and jazz up your parties with vibrantly dancing colors.; Install with Ease: The camera can be attached to the center top of your TV. With clips and adhesives, the 3.8M TV led light strip made up of 4 pieces can be installed firmly on all 4 sides of any 55-65 in TV. Each side is connected via a flexible cable.",Others,129.99,,1080p,Not specified,,,,,,,,Not specified,Not specified,
126,"Samsung UA85AU8000KXXS 85-inch 4K Smart TV, 4 Ticks","S$2,699.00","Screen size; 85 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Resolution; 4K; Special features; Flat; Model name; UA85AU8000KXXS; Included components; Stand, TV; Mounting type; Table Mount","About this item; UA85AU8000KXXS 85-inch 4K Smart TV, 4 Ticks; Samsung",Samsung,2699.0,85.0,4K,Yes,,,,,,,,Not specified,Not specified,
127,Xiaomi TV Stick 4K,S$74.90,Brand; Xiaomi; Connectivity technology; Bluetooth; Special features; Chromecast; Resolution; 4k; Supported Internet services; Google Assistant; Controller type; Remote Control; Form factor; TV Stick; Colour; Black; Model name; Xiaomi; Item weight; 29 Grams,About this item; Portable 4K Streaming Media; Dolby Atmos and Dolby Vision supported; Built-in Google Assistant; Surround sound for superior audio experience; Quad-core processor with high performance GPU,Others,74.9,,4K,Not specified,0.029,,,,,,,Not specified,Not specified,
128,"PRISM+ Q65-QE PRO | 65"" 4K Android TV Upgraded Quantum Edition | Fixed Mount","S$1,348.00","Screen size; 65 Inches; Brand; Prism+; Supported Internet services; Netflix, Pandora, Amazon Instant Video, YouTube; Product dimensions; 29D x 145W x 91H centimetres; Resolution; 4K; Special features; Flat; Included components; Stand, TV; Connectivity technology; Bluetooth; Mounting type; Table Mount; Model year; 2020","About this item; First Singaporean Android TV Brand; 65"" 4K Ultra HD Android TV; Google Playstore - over 5,000 apps like Netflix, Youtube, Prime Video, Spotify, Twitch, Plex, and more; Far Field Voice Control - Control your Android TV using Google Assistant voice commands; 4K UHD Resolution, Quantum IPS Panel, 1.07 Billion Colors, ZeroBezel Form Factor, HDR10 with Dolby Vision, Dolby Audio Surround Sound, DTS TruSurround, Digital Ready TV, Bluetooth 5.0",Others,1348.0,65.0,4K,Yes,,91.0,145.0,29.0,,,,Android TV,Not specified,
129,"LG OLED48A2PSA Smart 4K OLED TV, 48-inch, 4 Ticks, A2, Black","S$1,899.00","Screen size; 48 Inches; Brand; LG; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; OLED; Resolution; 4K; Refresh rate; 120 Hz; Special features; Flat; Model name; LG; Included components; 1 x Smart TV; Connectivity technology; HDMI",About this item; 5th Generation AI Processor with dynamic tone mapping; Comes with narrow border; Dolby Vision IQ with Dolby atmos; Creating a sharp picture with unprecedented depth; Voltage: 100.0 volts; Wireless communication technology: Wi-Fi,LG,1899.0,48.0,4K,Yes,,,,,120.0,1.0,,Not specified,A++,
130,Hisense E7H 65 Inch Smart Google Tv Dolby Vision Dolby Atmos Memc Hdr 10 Vrr + Allm Dual Wifi 2.4/5G Bluetooth 5.1 Hdmi (Earc),"S$1,099.00","Brand; Hisense; Included components; TV, TV Stand, Remote Control, Battery AAA x 2, User Manual, Quick Setup Guide, Power Cord; Item weight; 16.5 Kilograms","About this item; Google TV - With Youtube, Netflix, Disney+ and 5000 more apps available in the Google Play store; Google Assistant - Voice control your TV & smart home devices; Chromecast built in - Can cast your phone or other smart devices' screen to TV; Dolby Vision & Atmos - Experience the most realistic holographic ""surround"" impact; AirPlay 2 & HomeKit - Wireless stream content or control from your Apple device to the TV",Others,1099.0,65.0,Not specified,Yes,16.5,,,,,,,Android TV,Not specified,
131,"Samsung Electronics UN32M4500BFXZA 720P Smart LED TV, 32"" (2018)",S$618.24,"Screen size; 32 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; LED; Resolution; 720p; Refresh rate; 60 Hz; Special features; Flat; Model name; UN32M4500BF; Included components; kkkk; Connectivity technology; Wi-Fi","About this item; HD 720p: enjoy a viewing experience with 2x the clarity and detail; Smart TV: access your favorite program choices, live TV, video on demand, apps and social media in one easy-to-browse navigation experience.; Quad-Core Processor: enjoy a Fluid browsing experience and faster control- switching between apps, streaming content and other media effortlessly.",Samsung,618.24,32.0,720p,Yes,,,,,60.0,,,Not specified,Not specified,
132,"Aiwa AW-LED55XVC-RM Ultra HD Frameless Android TV, 55""",S$779.00,Screen size; 55 Inches; Brand; Aiwa; Display technology; LED; Product dimensions; 8.9D x 123.1W x 71.3H centimetres; Resolution; 4K; Refresh rate; 60 Hz; Special features; Flat; Model name; Aiwa; Included components; 1 x Ultra HD Frameless Android TV; Connectivity technology; HDMI,About this item; Android 9.0 operating system; Built-in soundbar android and digital ready; DVB T2 digital ready television; 10 Bit high dynamic range imaging decoder; Chromecast and incredibly fluid motion,Others,779.0,55.0,4K,Not specified,,71.3,123.1,8.9,60.0,,,Android TV,Not specified,
133,Philips 43 inch Full HD LED Android TV 6900 Series - 43PFT6918/98,S$474.00,"Screen size; 43 Inches; Brand; Philips; Supported Internet services; Netflix; Display technology; LED; Product dimensions; 22.7D x 95.8W x 55.9H centimetres; Resolution; 1080p; Refresh rate; 60 Hz; Special features; Flat; Model name; 6900 Series; Included components; 2 x AAA Batteries, 1 x Power cord, 1 x Quick start guide, 1 x Legal and safety brochure, 1 x Table top stand, 1 x Remote Control; See more","About this item; Google assistant, control the TV with your voice; Enhances better sound for movies, games, music, and programs; A clear, intuitive interface lets you put the content you love front and center; Experience endless movies, TV, music, apps and games online; Philips pixel plus HD processing engine optimizes the picture so you get razor-sharp images",Philips,474.0,43.0,1080p,Yes,,55.9,95.8,22.7,60.0,,,Android TV,Not specified,
134,"Audiobox 32"" TV Widescreen HDTV, Built-in DVD Player with HDMI & USB with Car Cord Adapter and Digital Noise Reduction (TV-32D)",S$701.34,"Screen size; 32 Inches; Brand; Audiobox; Supported Internet services; Browser; Display technology; LED; Resolution; 1080p; Special features; Flat; Included components; Includes: Full Function Remote Control, Car Charger, AC Adaptor.; Connectivity technology; USB, HDMI; Recommended product uses; Indoor or Outdoor; Mounting type; Wall Mount","About this item; Awesome 32"" HDTV with DVD Player & HDMI; HDTV brings you a crisp picture quality for stunning detail and contrast.; With a 1366*768 resolution, every detail can be seen. The colors projected from the monitor contains a spectrum of vibrant colors.; This TV has digital noise reduction and multiple picture modes such as Standard, Dynamic, and more; This provides you with the best viewing experience!",Others,701.34,32.0,1080p,No,,,,,,1.0,1.0,Not specified,Not specified,
135,"16"" Digital Television,ATSC Portable TV 1280x800 LED Television Video Player,with 1800mAh Rechargeable Battery,Antenna, AV ,Headphone, HDMI,USB Interface",S$254.19,"Screen size; 16 Inches; Brand; ASHATA; Supported Internet services; Browser; Display technology; LED; Resolution; 1080p; Special features; Flat; Included components; Stand, TV, Remote Control, Batteries; Connectivity technology; USB, HDMI; Colour; Default; Mounting type; Table Mount","About this item; [Viewing Type] The portable digital TV is made of ABS material, hard and durable, in addition, it also complies with ATSC, which can watch analog TV, digital TV and ATV.; [Multi Interface] The digital TV is equipped with USB interface, small memory card slot to play U disk content, supporting MKV, MOV, AVI, WMV, MP4, FLV, MPEG1‑4, 1080P video and MP3.; [Outdoor Use] Digital TV is equipped with 1800mAh rechargeable outdoor lithium battery with stand for easy carrying and use, but remember to charge it in advance for use.; [High Sensitivity] The digital TV has a high sensitivity tuner for enhanced signal reception, and also supports FM broadcast function, which is a great experience.; [Applicable Countries] The various functions of this portable digital TV are only applicable for some countries, so be sure to confirm your country before purchasing.",Others,254.19,16.0,1080p,No,,,,,,1.0,1.0,Not specified,Not specified,
